Name,Price,Profession,Normalized
Approx MK210,6.0,"Engineer, Healthcare",0.008151831007243267
Havit XL-KB006,17.99,"Doctor, Artist",0.038412033414935765
Approx KBVLV5,6.39,"Engineer, Artist",0.009136107816167376
Natec Flameback,3.27,"Engineer, Artist",0.0012618933447744996
Powertech PT-189,14.89,"Artist, Marketing",0.03058829467733387
Esperanza EK116,5.55,Engineer,0.0070161269969462176
NOD ValuePro Wireless W-KMS-102,14.9,Homemaker,0.030613532544229362
NOD W-KMS-101,14.9,Marketing,0.030613532544229362
Q-812 Black,23.0,Healthcare,0.051056204729576254
Trust Classicline Keyboard New,8.88,"Lawyer, Engineer",0.015420336673144389
Microsoft Bluetooth Keyboard,46.06,"Lawyer, Doctor",0.10925472579057617
Microsoft Type Cover 2 Purple,29.9,Executive,0.06847033288746435
Wesdar V2,7.2,Executive,0.011180375034702065
Logitech MX KEYS for Mac,109.99,Homemaker,0.2706004088534437
uGo Askja K110,4.1,"Marketing, Artist",0.003356636297100168
Omega OK05TGR,5.45,Executive,0.006763748327991318
Media-Tech MT122K-US,8.05,"Engineer, Healthcare",0.013325593720818719
uGo Askja K140,2.79,"Marketing, Doctor",5.0475733790980026e-05
Alcatroz Jellybean U2000 White/Mint,11.04,Executive,0.02087171592257022
Microsoft Surface Go Signature Type Cover Ice Blue,113.0,Healthcare,0.2781970067889862
Alcatroz U2000 Black,11.04,"Artist, Engineer",0.02087171592257022
Natec Discus White,7.31,Entertainment,0.011457991570552455
Alcatroz Jellybean U2000 White,11.04,Doctor,0.02087171592257022
Alcatroz Xplorer Go BT100 Black,13.7,Marketing,0.02758498851677056
Alcatroz Airpad 1 Black,21.4,"Lawyer, Homemaker",0.04701814602629785
Alcatroz Airpad 1 White,21.07,"Marketing, Entertainment",0.046185296418746684
Alcatroz Jellybean U2000 Peach,11.04,"Healthcare, Engineer",0.02087171592257022
Logitech K380 Off-White,44.85,Healthcare,0.10620094389622188
Microsoft Surface Go Signature Type Cover,119.0,Artist,0.2933397269262802
Alcatroz Xplorer Go BT100,13.98,Lawyer,0.028291648789844283
Microsoft Surface Pro Signature Type Cover Ice Blue,139.0,Doctor,0.34381546071726016
Xiaomi MIIIW White,31.55,Executive,0.0726345809252202
Alcatroz Jellybean U2000 Black/Red,11.04,"Entertainment, Healthcare",0.02087171592257022
Xiaomi Wireless Keyboard And Mouse Set,28.9,Artist,0.06594654619791535
Element KB-150U,7.0,"Homemaker, Engineer",0.010675617696792268
Touchglobal K06,17.0,Entertainment,0.03591348459228226
XtremeMac Bluetooth Numpad Calculator,69.23,Entertainment,0.16773086338742652
Alcatroz Jellybean A2000 Mint,18.2,"Executive, Healthcare",0.038942028619741054
Andowl QY-K08,16.9,Healthcare,0.03566110592332736
Titanum TK109,8.01,"Doctor, Engineer",0.013224642253236756
Viboton i8 Plus,16.7,"Entertainment, Lawyer",0.03515634858541756
Andowl QY-K01 White,14.9,"Artist, Homemaker",0.030613532544229362
Matias Wired Aluminum Tenkeyless Keyboard for Mac Silver,46.99,"Engineer, Entertainment",0.11160184741185675
KeySonic ACK-595C+,36.0,"Entertainment, Artist",0.08386543169371323
Matias Wireless Aluminum Keyboard Space Gray,82.84,"Lawyer, Engineer",0.20207960023218838
Tracer Octavia II Nano,13.02,Homemaker,0.025868813567877243
Trust Classicline Wired Keyboard and Mouse,13.67,Doctor,0.02750927491608409
Logic LK-12,4.27,"Engineer, Entertainment",0.0037856800343234976
DAS Keyboard 4 Professional for Mac,149.68,"Homemaker, Executive",0.3707695025616435
Matias Wired Aluminum Keyboard for Mac Space Gray,60.54,Entertainment,0.14579915705524568
Silicone Keyboard Ροζ,9.0,"Entertainment, Executive",0.015723191075890267
Andowl QY-K01,9.7,"Homemaker, Marketing",0.017489841758574563
Universal Foldable Silver,21.2,Lawyer,0.04651338868838806
Lenovo Professional Wireless Keyboard and Mouse Combo,52.8,"Artist, Homemaker",0.1262650480781364
Powertech PT-680,17.7,"Executive, Artist",0.03768013527496656
KeySonic ACK-3401U,26.68,Healthcare,0.06034373974711657
Microsoft Ergonomic Keyboard,95.0,"Executive, Homemaker",0.2327688463771042
Wireless QWERTY Keyboard White,10.97,"Homemaker, Marketing",0.020695050854301796
Q-812 Silver,23.0,Homemaker,0.051056204729576254
ANG R4,29.99,Healthcare,0.06869747368952375
Mixie X70,8.9,"Doctor, Lawyer",0.015470812406935368
Esperanza Memphis,4.95,"Lawyer, Marketing",0.005501854983216818
Riitek K22,32.93,Lawyer,0.07611740655679781
Rebeltec Simplo,8.09,"Homemaker, Marketing",0.013426545188400677
Gembird KPD-U-02,6.9,Artist,0.010423239027837369
Blow BK105,33.9,Lawyer,0.07856547964566034
Lamtech LAM622185,12.99,"Artist, Engineer",0.025793099967190772
Matias Wireless Multi-Pairing Keyboard for Mac,60.24,Artist,0.145042021048381
Ezra AM01,10.9,Lawyer,0.020518385786033367
Microsoft Surface Go Type Cover,113.0,"Engineer, Marketing",0.2781970067889862
Turbo-X Miro,19.9,"Lawyer, Healthcare",0.043232465991974355
Lenovo Professional Ultraslim Wireless,84.0,"Lawyer, Marketing",0.20500719279206522
Mini Bluetooth Magnetic Foldable Black,30.69,Artist,0.07046412437220806
Tellur Wireless Keyboard And Mouse Kit,19.9,Executive,0.043232465991974355
Turbo-X DWLC 9100,22.9,"Artist, Homemaker",0.05080382606062135
Turbo-X DW-1000,14.9,"Lawyer, Engineer",0.030613532544229362
Logitech Combo MK345,59.0,"Executive, Doctor",0.14191252555334022
Tellur Wired Keyboard,9.9,"Healthcare, Doctor",0.017994599096484366
Mobilis Retro Red,26.49,"Doctor, Entertainment",0.059864220276102255
R-Horse RF-8801 Silver,18.4,"Homemaker, Engineer",0.03944678595765085
Dell KB216 Grey,10.87,Healthcare,0.020442672185346893
Turbo-X SMRT-400,24.9,"Marketing, Healthcare",0.05585139943971935
Esperanza Akron TK109,8.9,Executive,0.015470812406935368
UKB-500 Keyboard,13.9,"Entertainment, Executive",0.028089745854680364
Turbo-X T 400,29.9,"Entertainment, Marketing",0.06847033288746435
Turbo-X DWC 8000,17.9,Homemaker,0.03818489261287636
1Life kb:kit,12.08,"Marketing, Entertainment",0.023496454079701183
Universal Foldable Rose Gold,23.98,Engineer,0.053529515685334275
Remax Jinyin MK601,29.9,"Executive, Engineer",0.06847033288746435
Turbo-X DWLC 6100,17.9,Doctor,0.03818489261287636
Viboton i8 Plus Mini,14.9,"Homemaker, Doctor",0.030613532544229362
Rebeltec Vortex,14.4,"Healthcare, Homemaker",0.02935163919945486
Omega OKM071B,12.0,"Executive, Engineer",0.023294551144537264
Matias RGB Backlit Wired Aluminum Tenkeyless Keyboard for Mac Space Gray,80.22,"Doctor, Engineer",0.19546727910557
Turbo-X MC 110 Blue,17.9,"Homemaker, Marketing",0.03818489261287636
Turbo-X MC 110,17.9,Entertainment,0.03818489261287636
Logickeyboard Cubase Nuendo Astra,144.0,Healthcare,0.3564343941650051
Turbo-X DW-800,9.9,Artist,0.017994599096484366
Turbo-X DWC 6000,14.9,"Healthcare, Lawyer",0.030613532544229362
Turbo-X DW-600,11.9,Executive,0.023042172475582365
Matias Wireless Aluminum Tenkeyless Keyboard Silver,75.68,"Homemaker, Lawyer",0.18400928753501755
Logickeyboard Adobe Photographer PC ASTRA Backlit Keyboard,144.0,"Doctor, Entertainment",0.3564343941650051
Art AK-46U,7.94,Executive,0.013047977184968326
Microsoft Surface Keyboard,149.0,"Artist, Engineer",0.3690533276127501
Andowl Q-811,14.3,Doctor,0.029099260530499965
Esperanza TKR101,6.0,Doctor,0.008151831007243267
uGo Etna CW110,7.73,"Doctor, Artist",0.012517981980163038
Motospeed S102,15.0,"Lawyer, Marketing",0.03086591121318426
Yenkee YKM 2007CS,39.0,"Doctor, Marketing",0.09143679176236023
Omoton Ultra-Slim Bluetooth Keyboard,39.0,"Lawyer, Entertainment",0.09143679176236023
NGS Wired Set Cocoa Kit,24.4,Doctor,0.054589506094944854
Yenkee YKB 1002CS,10.0,Homemaker,0.018246977765439265
Blow KP-106 Black,11.9,"Entertainment, Engineer",0.023042172475582365
Q-Tech KBQ-2030,12.9,"Entertainment, Executive",0.025565959165131363
Logickeyboard Davinci Resolve 14 Astra,98.0,"Homemaker, Doctor",0.24034020644575121
Riitek Rii K16,115.0,Homemaker,0.2832445801680842
Sandberg Wireless Numeric Keypad 2,16.9,Executive,0.03566110592332736
Riitek Rii RK901,29.0,Healthcare,0.06619892486687025
Logickeyboard Blackmagic Design DaVinci Resolve 16 Astra,144.0,Healthcare,0.3564343941650051
Logitech Wireless Keyboard K230,28.38,Doctor,0.06463417711934986
Zagg ZLTKBW-BB0,59.9,Lawyer,0.1441839335739343
Satechi Compact Backlit,79.99,Entertainment,0.1948868081669737
Savio KW-03,14.02,"Healthcare, Doctor",0.02839260025742624
Riitek Rii mini H9S,13.79,Healthcare,0.02781212931882997
Mobilis RK908 Black,31.5,"Lawyer, Doctor",0.07250839159074275
Gembird KB-BT-001 White,19.9,"Artist, Entertainment",0.043232465991974355
Esperanza EK130 Black,6.45,Engineer,0.009287535017540318
Microsoft Surface Pro Type Cover Black,133.21,"Marketing, Entertainment",0.32920273578477144
Microsoft Surface Pro Signature Type Cover Charcoal Grey,144.0,"Homemaker, Marketing",0.3564343941650051
Everest MVLGR-2,5.29,Doctor,0.006359942457663478
Blow KP-23,7.8,"Healthcare, Doctor",0.012694647048431464
Satechi Aluminum Bluetooth Keyboard Space Gray,79.9,"Healthcare, Engineer",0.19465966736491433
Weibo WB-560,14.3,Artist,0.029099260530499965
Rebeltec Vertex,16.7,Healthcare,0.03515634858541756
Andowl QY-K09,22.9,"Entertainment, Marketing",0.05080382606062135
Trust Vaia,27.67,"Marketing, Lawyer",0.06284228856977009
Belkin YourType Keyboard + Stand,37.9,"Artist, Engineer",0.08866062640385633
Macally Compact Space Gray USB Wired Keyboard,59.0,Entertainment,0.14191252555334022
Logickeyboard Adobe Photographer Astra for Mac,144.0,"Marketing, Entertainment",0.3564343941650051
Logickeyboard Adobe Filmmaker Astra for Mac,144.0,"Artist, Healthcare",0.3564343941650051
Das KeyBoard 4 Professional root,129.6,"Marketing, Healthcare",0.3200918658354996
Satechi Aluminum Wired USB Keyboard for Apple,69.9,Doctor,0.16942180046942434
Blow BK103,9.81,Entertainment,0.017767458294424956
Google Pixel Slate,199.0,"Entertainment, Lawyer",0.49524266209020007
Sandberg Bluetooth Numeric Keypad,39.7,Executive,0.09320344244504454
Yenkee YKM 2006US,22.9,Executive,0.05080382606062135
Riitek K12,29.9,Homemaker,0.06847033288746435
HP Slim USB Keyboard and Mouse,24.5,Entertainment,0.054841884763899756
Silicone Keyboard Λευκό,13.99,Homemaker,0.028316886656739773
A4Tech ComfortKey Desktop Black,10.5,Executive,0.019508871110213766
Azio Retro Classic USB Artisan Black/Gold,289.0,Executive,0.7223834641496101
